date,transactions
2021-03-19T00:00:00Z,177757
2021-03-20T00:00:00Z,178743
2021-03-21T00:00:00Z,168485
2021-03-22T00:00:00Z,188928
2021-03-23T00:00:00Z,177865
2021-03-24T00:00:00Z,186113
2021-03-25T00:00:00Z,165406
2021-03-26T00:00:00Z,174775
2021-03-27T00:00:00Z,183500
2021-03-28T00:00:00Z,181937
2021-03-29T00:00:00Z,181930
2021-03-30T00:00:00Z,184734
2021-03-31T00:00:00Z,181908
2021-04-01T00:00:00Z,189406
2021-04-02T00:00:00Z,169213
2021-04-03T00:00:00Z,158302
2021-04-04T00:00:00Z,159130
2021-04-05T00:00:00Z,168726
2021-04-06T00:00:00Z,174361
2021-04-07T00:00:00Z,173968
2021-04-08T00:00:00Z,167250
2021-04-09T00:00:00Z,160495
2021-04-10T00:00:00Z,161320
2021-04-11T00:00:00Z,159167
2021-04-12T00:00:00Z,153503
2021-04-13T00:00:00Z,153978
2021-04-14T00:00:00Z,159753
2021-04-15T00:00:00Z,166533
2021-04-16T00:00:00Z,174580
2021-04-17T00:00:00Z,210680
2021-04-18T00:00:00Z,186516
2021-04-19T00:00:00Z,194252
2021-04-20T00:00:00Z,213715
2021-04-21T00:00:00Z,213516
2021-04-22T00:00:00Z,204763
2021-04-23T00:00:00Z,207171
2021-04-24T00:00:00Z,185479
2021-04-25T00:00:00Z,189221
2021-04-26T00:00:00Z,193893
2021-04-27T00:00:00Z,197622
2021-04-28T00:00:00Z,197117
2021-04-29T00:00:00Z,200240
2021-04-30T00:00:00Z,216583
2021-05-01T00:00:00Z,210704
2021-05-02T00:00:00Z,246539
2021-05-03T00:00:00Z,213366
2021-05-04T00:00:00Z,216831
2021-05-05T00:00:00Z,211328
2021-05-06T00:00:00Z,165054
2021-05-07T00:00:00Z,165887
2021-05-08T00:00:00Z,193169
2021-05-09T00:00:00Z,215793
2021-05-10T00:00:00Z,219835
2021-05-11T00:00:00Z,243518
2021-05-12T00:00:00Z,228675
2021-05-13T00:00:00Z,178903
2021-05-14T00:00:00Z,212137
2021-05-15T00:00:00Z,228135
2021-05-16T00:00:00Z,219954
2021-05-17T00:00:00Z,202604
2021-05-18T00:00:00Z,212609
2021-05-19T00:00:00Z,165815
2021-05-20T00:00:00Z,164639
2021-05-21T00:00:00Z,175112
2021-05-22T00:00:00Z,168067
2021-05-23T00:00:00Z,166890
2021-05-24T00:00:00Z,174436
2021-05-25T00:00:00Z,171076
2021-05-26T00:00:00Z,169451
2021-05-27T00:00:00Z,170465
2021-05-28T00:00:00Z,194720
2021-05-29T00:00:00Z,199882
2021-05-30T00:00:00Z,198873
2021-05-31T00:00:00Z,186327
2021-06-01T00:00:00Z,177455
2021-06-02T00:00:00Z,178176
2021-06-03T00:00:00Z,190295
2021-06-04T00:00:00Z,175481
2021-06-05T00:00:00Z,169188
2021-06-06T00:00:00Z,160467
2021-06-07T00:00:00Z,179026
2021-06-08T00:00:00Z,171286
2021-06-09T00:00:00Z,174122
2021-06-10T00:00:00Z,167652
2021-06-11T00:00:00Z,169333
2021-06-12T00:00:00Z,171140
2021-06-13T00:00:00Z,152078
2021-06-14T00:00:00Z,157485
2021-06-15T00:00:00Z,161317
2021-06-16T00:00:00Z,153768
2021-06-17T00:00:00Z,160849
2021-06-18T00:00:00Z,147916
2021-06-19T00:00:00Z,158647
2021-06-20T00:00:00Z,147859
